labels,paths
1,/data/kaggle_3.27/additional/Type_1_v2/10.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1000.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1001.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1003.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1004.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1005.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1009.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1011.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/102.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1032.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1036.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/104.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1047.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1054.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1058.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1060.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1061.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1066.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1069.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1074.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1075.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1081.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1087.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1091.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1093.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1104.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/111.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1110.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1111.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1117.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1121.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1128.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1133.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1139.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1141.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1142.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1143.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/115.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/116.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1161.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1163.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1166.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1183.jpg
1,/data/kaggle_3.27/additional/Type_1_v2/1185.jpg
